extractedMetrics
dataset_name;num_instances_train;num_instances_test;train_test_ratio;num_features;num_classes;label_skew;euclidean_distance;dynamic_time_warping_learned;dynamic_time_warping_fixed;default_error_rate;num_missing_values;perc_missing_values;num_duplicate_instances;perc_duplicate_instances;avg_autocorrelation;ks_statistic;ks_p_value
ACSF1;100;100;1;1460;10;0.0;0.4600;0.3800;0.3600;0.9000;0;0;0;0;0.32031717476796756;0.30126027397260274;0.0
Adiac;390;391;0,997442455242967;176;37;0.00324327852702575;0.3887;0.3913;0.3964;0.9591;0;0;0;0;0.0015649763333107384;0.08633308113141663;0.0
AllGestureWiimoteX;300;700;0,428571428571429;500;10;0.0;0.4843;0.2829;0.2843;0.9000;0;0;1;0.0002;0.006480328576629927;0.4438802395209581;0.0
AllGestureWiimoteY;300;700;0,428571428571429;500;10;0.0;0.4314;0.2700;0.2714;0.9000;0;0;1;0.0002;0.004601991020325828;0.4609620758483034;0.0
AllGestureWiimoteZ;300;700;0,428571428571429;500;10;0.0;0.5457;0.3486;0.3571;0.9000;375409;75.0818;1;0.0002;0.008466257808661939;0.2506806387225549;0.0
ArrowHead;36;175;0,205714285714286;251;3;0.14198551654347694;0.2000;0.2000;0.2971;0.6057;0;0;1;0.0018881818697;0.09197278693948935;0.08723400237910917;0.0
Beef;30;30;1;470;5;0.0;0.3333;0.3333;0.3667;0.8000;0;0;0;0;0.2747898337278651;0.15634751773049646;0.0
BeetleFly;20;20;1;512;2;0.0;0.2500;0.3000;0.3000;0.5000;0;0;0;0;-0.006844753188015523;0.03183593749999997;0.0
BirdChicken;20;20;1;512;2;0.0;0.4500;0.3000;0.2500;0.5000;0;0;0;0;-0.050113186697558675;0.029589843750000067;0.0
BME;30;150;0,2;128;3;0.0;0.1667;0.0200;0.1000;0.6667;0;0;0;0;0.20116187691946966;0.23736979166666666;0.0
Car;60;60;1;577;4;0.0;0.2667;0.2333;0.2667;0.6833;0;0;0;0;-0.06610529345750205;0.07707972270363952;0.0
CBF;30;900;0,0333333333333333;128;3;0.0;0.1478;0.0044;0.0033;0.6644;0;0;0;0;-0.012470976965594092;0.06555779569892473;0.0
Chinatown;20;343;0,0583090379008746;24;2;-0.9444199367490168;0.0466;0.0466;0.0437;0.2741;0;0;0;0;0.3211042598505694;0.15369605142332415;0.0
ChlorineConcentration;467;3840;0,121614583333333;166;3;-0.6114756735520612;0.3500;0.3500;0.3516;0.4674;0;0;0;0;0.008377807881457637;0.11756149277863714;0.0
CinCECGTorso;40;1380;0,0289855072463768;1639;4;0.0;0.1029;0.0696;0.3493;0.7464;0;0;0;0;-0.004202106606719815;0.19274463130215091;0.0
Coffee;28;28;1;286;2;0.07147416898918607;0.0000;0.0000;0.0000;0.4643;0;0;0;0;0.16139134584436293;0.1199425574425575;0.0
Computers;250;250;1;720;2;0.0;0.4240;0.3800;0.3000;0.5000;0;0;0;0;0.0853447164278642;0.3051055555555556;0.0
CricketX;390;390;1;300;12;0.0;0.4231;0.2282;0.2462;0.8974;0;0;0;0;0.01014959093809466;0.057346153846153824;0.0
CricketY;390;390;1;300;12;0.0;0.4333;0.2410;0.2564;0.9051;0;0;0;0;-0.026206229843954033;0.07440598290598294;0.0
CricketZ;390;390;1;300;12;0.0;0.4128;0.2538;0.2462;0.8974;0;0;0;0;-0.01669342116150221;0.055085470085470156;0.0
